0,1,2,3,4,5
130.6883604505632,110.2377972465582,130.0,110.0,-0.6883604505632093,-0.2377972465582019
130.38798498122654,100.47559449311639,130.0,100.0,-0.3879849812265377,-0.47559449311638957
130.2377972465582,90.26282853566958,130.0,90.0,-0.23779724655818768,-0.2628285356695841
130.08760951188987,80.35043804755944,130.0,80.0,-0.0876095118898661,-0.350438047559436
129.7872340425532,70.4380475594493,130.0,70.0,0.2127659574468055,-0.43804755944930207
130.08760951188987,60.52565707133917,130.0,60.0,-0.0876095118898661,-0.5256570713391682
130.08760951188987,50.31289111389236,130.0,50.0,-0.0876095118898661,-0.3128911138923627
130.08760951188987,40.400500625782215,130.0,40.0,-0.0876095118898661,-0.40050062578221457
130.08760951188987,30.48811013767208,130.0,30.0,-0.0876095118898661,-0.48811013767208067
130.2377972465582,20.275344180225275,130.0,20.0,-0.23779724655818768,-0.2753441802252752
130.38798498122654,10.513141426783477,130.0,10.0,-0.3879849812265377,-0.5131414267834771
120.17521902377972,110.38798498122654,120.0,110.0,-0.175219023779718,-0.3879849812265377
119.87484355444306,100.17521902377972,120.0,100.0,0.1251564455569394,-0.175219023779718
119.57446808510639,90.41301627033792,120.0,90.0,0.425531914893611,-0.4130162703379199
119.42428035043804,80.35043804755944,120.0,80.0,0.575719649561961,-0.350438047559436
119.42428035043804,70.58823529411765,120.0,70.0,0.575719649561961,-0.5882352941176521
119.42428035043804,60.52565707133917,120.0,60.0,0.575719649561961,-0.5256570713391682
119.57446808510639,50.613266583229034,120.0,50.0,0.425531914893611,-0.6132665832290343
119.57446808510639,40.400500625782215,120.0,40.0,0.425531914893611,-0.40050062578221457
119.57446808510639,30.337922403003745,120.0,30.0,0.425531914893611,-0.3379224030037449
120.02503128911138,20.275344180225275,120.0,20.0,-0.025031289111382193,-0.2753441802252752
120.02503128911138,10.362953692115141,120.0,10.0,-0.025031289111382193,-0.3629536921151413
109.96245306633291,110.83854818523153,110.0,110.0,0.0375469336670875,-0.8385481852315309
109.66207759699624,100.47559449311639,110.0,100.0,0.3379224030037591,-0.47559449311638957
109.21151439299123,90.26282853566958,110.0,90.0,0.7884856070087665,-0.2628285356695841
109.21151439299123,80.35043804755944,110.0,80.0,0.7884856070087665,-0.350438047559436
109.0613266583229,70.4380475594493,110.0,70.0,0.9386733416771023,-0.43804755944930207
109.0613266583229,60.52565707133917,110.0,60.0,0.9386733416771023,-0.5256570713391682
109.0613266583229,50.31289111389236,110.0,50.0,0.9386733416771023,-0.3128911138923627
109.21151439299123,40.400500625782215,110.0,40.0,0.7884856070087665,-0.40050062578221457
109.36170212765957,30.18773466833541,110.0,30.0,0.6382978723404307,-0.18773466833540908
109.66207759699624,20.12515644555694,110.0,20.0,0.3379224030037591,-0.1251564455569394
109.81226533166458,10.06257822277847,110.0,10.0,0.1877346683354233,-0.0625782227784697
100.05006257822278,110.98873591989988,100.0,110.0,-0.0500625782227786,-0.9887359198998809
99.59949937421777,100.62578222778473,100.0,100.0,0.4005006257822288,-0.6257822277847254
99.44931163954944,90.26282853566958,100.0,90.0,0.5506883604505646,-0.2628285356695841
99.14893617021276,80.20025031289111,100.0,80.0,0.8510638297872362,-0.2002503128911144
98.99874843554443,70.4380475594493,100.0,70.0,1.001251564455572,-0.43804755944930207
98.99874843554443,60.52565707133917,100.0,60.0,1.001251564455572,-0.5256570713391682
99.14893617021276,50.613266583229034,100.0,50.0,0.8510638297872362,-0.6132665832290343
99.44931163954944,40.400500625782215,100.0,40.0,0.5506883604505646,-0.40050062578221457
99.44931163954944,30.18773466833541,100.0,30.0,0.5506883604505646,-0.18773466833540908
99.44931163954944,19.974968710888604,100.0,20.0,0.5506883604505646,0.025031289111396404
99.59949937421777,9.912390488110134,100.0,10.0,0.4005006257822288,0.0876095118898661
89.53692115143929,110.68836045056321,90.0,110.0,0.4630788485607127,-0.6883604505632093
89.38673341677097,100.17521902377972,90.0,100.0,0.6132665832290343,-0.175219023779718
89.23654568210262,90.26282853566958,90.0,90.0,0.7634543178973843,-0.2628285356695841
89.38673341677097,80.35043804755944,90.0,80.0,0.6132665832290343,-0.350438047559436
88.93617021276594,70.4380475594493,90.0,70.0,1.0638297872340559,-0.43804755944930207
88.93617021276594,60.52565707133917,90.0,60.0,1.0638297872340559,-0.5256570713391682
89.23654568210262,50.613266583229034,90.0,50.0,0.7634543178973843,-0.6132665832290343
89.38673341677097,40.400500625782215,90.0,40.0,0.6132665832290343,-0.40050062578221457
89.38673341677097,29.887359198998737,90.0,30.0,0.6132665832290343,0.1126408010012625
89.38673341677097,19.674593241551932,90.0,20.0,0.6132665832290343,0.325406758448068
89.38673341677097,9.461827284105127,90.0,10.0,0.6132665832290343,0.5381727158948735
79.62453066332915,110.38798498122654,80.0,110.0,0.3754693366708466,-0.3879849812265377
79.62453066332915,100.47559449311639,80.0,100.0,0.3754693366708466,-0.47559449311638957
79.32415519399248,90.26282853566958,80.0,90.0,0.6758448060075182,-0.2628285356695841
79.32415519399248,80.20025031289111,80.0,80.0,0.6758448060075182,-0.2002503128911144
79.32415519399248,70.4380475594493,80.0,70.0,0.6758448060075182,-0.43804755944930207
79.32415519399248,60.37546933667083,80.0,60.0,0.6758448060075182,-0.3754693366708324
79.17396745932416,50.613266583229034,80.0,50.0,0.8260325406758398,-0.6132665832290343
79.32415519399248,40.55068836045055,80.0,40.0,0.6758448060075182,-0.5506883604505504
79.62453066332915,30.18773466833541,80.0,30.0,0.3754693366708466,-0.18773466833540908
79.62453066332915,19.674593241551932,80.0,20.0,0.3754693366708466,0.325406758448068
